Method,Precision,Recall,F1,IoU,TimeSeconds,PostprocessingApplied,InputImagePath,GroundTruthPath
Otsu,0.977342509264161,0.670975739330618,0.795687499415626,0.587531818836751,0.0901551,1,D:\ELEC 9773\E crack\3.jpg,D:\ELEC 9773\E crack\3.png
Sauvola,0.775107116731111,0.936780591464494,0.848309500422842,0.635350206828858,0.2049393,1,D:\ELEC 9773\E crack\3.jpg,D:\ELEC 9773\E crack\3.png
Canny,0.271065161918291,0.776577533793755,0.401860511797564,0.22217873246493,0.2140897,1,D:\ELEC 9773\E crack\3.jpg,D:\ELEC 9773\E crack\3.png
U-Net,0.950955643707176,0.84564075320229,0.895211465624495,0.725247295923084,0.7015138,1,D:\ELEC 9773\E crack\3.jpg,D:\ELEC 9773\E crack\3.png
