Method,Images,WithGT,MeanPrecision,MeanRecall,MeanF1,MeanIoU,StdIoU,MeanTimeSeconds,Failures
Otsu,2,2,1,0.827655408172232,0.905648627823881,0.719909179997433,0.0250228502361013,0.30806985,0
Sauvola,2,2,0.857409040507589,0.942428915733849,0.896431639150069,0.708844442744588,0.108408248216541,0.2771266,0
Canny,2,2,0.150626606444467,0.799327582417267,0.251228277171738,0.129535735324203,0.0485575502893279,0.17071875,0
U-Net,2,2,0.856077161589797,0.991252815384405,0.914354105714471,0.766549111492839,0.181630790664796,4.5825361,0
